,fopt,kch,species,delta
0,0.01,3,Tc1,674.368424766385
1,0.02,3,Tc1,688.0155227837577
2,0.03,3,Tc1,702.0799569703969
3,0.04,3,Tc1,716.5788482267088
4,0.05,3,Tc1,731.5301990053057
5,0.06,3,Tc1,746.95294782282
6,0.07,3,Tc1,762.8670276852056
7,0.08,3,Tc1,779.2934287442453
8,0.09,3,Tc1,796.254265528751
9,0.1,3,Tc1,813.7728491261435
10,0.11,3,Tc1,831.8737647221501
11,0.12,3,Tc1,850.582954942593
12,0.13,3,Tc1,869.9278094818729
13,0.14,3,Tc1,889.9372615431722
14,0.15,3,Tc1,910.6418916641604
15,0.16,3,Tc1,932.0740395508884
16,0.17,3,Tc1,954.2679245967057
17,0.18,3,Tc1,977.2597758224965
18,0.19,3,Tc1,1001.0879720354969
19,0.2,3,Tc1,1025.7931930717396
20,0.21,3,Tc1,1051.4185830567633
21,0.22,3,Tc1,1078.0099266931293
22,0.23,3,Tc1,1105.6158396588662
23,0.24,3,Tc1,1134.2879742793023
24,0.25,3,Tc1,1164.081241708958
25,0.26,3,Tc1,1195.0540519361755
26,0.27,3,Tc1,1227.2685729846205
27,0.28,3,Tc1,1260.7910107410805
28,0.29,3,Tc1,1295.6919108678737
29,0.3,3,Tc1,1332.0464842579656
30,0.31,3,Tc1,1369.9349574434098
31,0.32,3,Tc1,1409.4429492514323
32,0.33,3,Tc1,1450.6618747933985
33,0.34,3,Tc1,1493.6893775244685
34,0.35,3,Tc1,1538.6297895793932
35,0.36,3,Tc1,1585.5946197927992
36,0.37,3,Tc1,1634.703067652707
37,0.38,3,Tc1,1686.0825597670994
38,0.39,3,Tc1,1739.8693030522493
39,0.4,3,Tc1,1796.2088454932639
40,0.41,3,Tc1,1855.256630599783
41,0.42,3,Tc1,1917.1785250160594
42,0.43,3,Tc1,1982.1512893659228
43,0.44,3,Tc1,2050.362949170447
44,0.45,3,Tc1,2122.0130039311225
45,0.46,3,Tc1,2197.312385812391
46,0.47,3,Tc1,2276.483041250946
47,0.48,3,Tc1,2359.7569539929714
48,0.49,3,Tc1,2447.374348624087
49,0.5,3,Tc1,2539.5806976207245
50,0.51,3,Tc1,2636.6219839720065
51,0.52,3,Tc1,2738.7374170624503
52,0.53,3,Tc1,2846.1484172900755
53,0.54,3,Tc1,2959.042104478769
54,0.55,3,Tc1,3077.546634314601
55,0.56,3,Tc1,3201.6943454785037
56,0.57,3,Tc1,3331.3665171397815
57,0.58,3,Tc1,3466.210124789708
58,0.59,3,Tc1,3605.5115828046464
59,0.6,3,Tc1,3748.0039519718243
60,0.61,3,Tc1,3891.570928791119
61,0.62,3,Tc1,4032.791570057653
62,0.63,3,Tc1,4166.244649782409
63,0.64,3,Tc1,4283.470740903177
64,0.65,3,Tc1,4371.515203307077
65,0.67,3,Tc1,4393.471804584972
66,0.68,3,Tc1,4232.862495763143
67,0.69,3,Tc1,3953.6224466938
68,0.7,3,Tc1,3532.6226586537896
69,0.71,3,Tc1,3007.557503299771
70,0.72,3,Tc1,2453.178015972234
71,0.73,3,Tc1,1944.0564392340473
72,0.74,3,Tc1,1521.6797232327153
73,0.75,3,Tc1,1192.3581559685988
74,0.76,3,Tc1,943.2065956833973
75,0.77,3,Tc1,756.3384414264839
76,0.78,3,Tc1,615.6429269274975
77,0.79,3,Tc1,508.6055685599059
78,0.8,3,Tc1,426.08284922862043
79,0.81,3,Tc1,361.5478801773801
80,0.82,3,Tc1,310.3631047236323
81,0.83,3,Tc1,269.21733830689027
82,0.84,3,Tc1,235.72352291455425
83,0.85,3,Tc1,208.1402393997562
84,0.86,3,Tc1,185.1807876279649
85,0.87,3,Tc1,165.88216725831714
86,0.88,3,Tc1,149.51456438214436
87,0.89,3,Tc1,135.51821801419794
88,0.9,3,Tc1,123.45889545549358
89,0.91,3,Tc1,112.99612462604775
90,0.92,3,Tc1,103.86026163662896
91,0.93,3,Tc1,95.83574502894399
92,0.94,3,Tc1,88.7487309114656
93,0.95,3,Tc1,82.45786500794445
94,0.96,3,Tc1,76.8473254190581
95,0.97,3,Tc1,71.82152643873957
96,0.98,3,Tc1,67.30104976676324
97,0.99,3,Tc1,63.21949145925595
98,1.0,3,Tc1,59.52099839950046
99,0.01,10,Tc1,529.42402094518
100,0.02,10,Tc1,539.5611276655472
101,0.03,10,Tc1,549.9851355632474
102,0.04,10,Tc1,560.7065641988355
103,0.05,10,Tc1,571.7363891247486
104,0.06,10,Tc1,583.0860629530893
105,0.07,10,Tc1,594.7675372345196
106,0.08,10,Tc1,606.7932851324716
107,0.09,10,Tc1,619.1763248665214
108,0.1,10,Tc1,631.9302438818335
109,0.11,10,Tc1,645.0692236858234
110,0.12,10,Tc1,658.6080652685272
111,0.13,10,Tc1,672.5622149985151
112,0.14,10,Tc1,686.9477908508082
113,0.15,10,Tc1,701.7816087863152
114,0.16,10,Tc1,717.0812090520024
115,0.17,10,Tc1,732.8648821142217
116,0.18,10,Tc1,749.1516938672489
117,0.19,10,Tc1,765.9615096754344
118,0.2,10,Tc1,783.3150167048409
119,0.21,10,Tc1,801.2337438793353
120,0.22,10,Tc1,819.7400786482824
121,0.23,10,Tc1,838.8572795769725
122,0.24,10,Tc1,858.6094835580086
123,0.25,10,Tc1,879.0217061864261
124,0.26,10,Tc1,900.1198335346536
