,index,fopt,rb1,rb2,tc1,tc2,kch,tu1,tu2,protein,Rb,Tc,protein_expr_rate,Rf,ratio
0,46,0.5,249.17330219143034,249.17330219143034,9.953287145520898,9.953287145520898,0.1,1240.0467128544792,1240.0467128544792,82.66978085696528,498.3466043828607,19.906574291041796,0.8266978085696528,1.6533956171393243,0.5
1,139,0.5,248.3597506469088,248.3597506469088,19.81298518160208,19.81298518160208,0.2,1230.187014818398,1230.187014818398,164.02493530911974,496.7195012938176,39.62597036320416,1.6402493530911975,3.2804987061824136,0.5
2,233,0.5,246.77133568916298,246.77133568916298,39.25088343612025,39.25088343612025,0.4,1210.7491165638799,1210.7491165638799,322.86643108370134,493.54267137832596,78.5017668722405,3.228664310837013,6.457328621674037,0.5
3,331,0.5,243.7439940958198,243.7439940958198,76.99889296621035,76.99889296621035,0.8,1173.0011070337896,1173.0011070337896,625.6005904180212,487.4879881916396,153.9977859324207,6.256005904180212,12.512011808360398,0.5
4,432,0.5,238.24547815899308,238.24547815899308,148.0135774056018,148.0135774056018,1.6,1101.9864225943982,1101.9864225943982,1175.4521841006915,476.49095631798616,296.0271548112036,11.754521841006914,23.50904368201384,0.5
5,533,0.5,229.15505343225382,229.15505343225382,272.89312963689866,272.89312963689866,3.2,977.1068703631013,977.1068703631013,2084.494656774616,458.31010686450765,545.7862592737973,20.84494656774616,41.689893135492355,0.5
6,634,0.5,216.4837595688428,216.4837595688428,464.46311489475323,464.46311489475323,6.4,785.5368851052467,785.5368851052467,3351.6240431157194,432.9675191376856,928.9262297895065,33.51624043115719,67.0324808623144,0.5
7,735,0.5,202.8450694020112,202.8450694020112,697.4031570548186,697.4031570548186,12.8,552.5968429451814,552.5968429451814,4715.493059798881,405.6901388040224,1394.8063141096372,47.154930597988816,94.30986119597759,0.5
8,836,0.5,191.85102149581687,191.85102149581687,909.2833290770519,909.2833290770519,25.6,340.7166709229481,340.7166709229481,5814.897850418314,383.70204299163373,1818.5666581541038,58.14897850418314,116.29795700836627,0.5
9,937,0.5,184.77819448364573,184.77819448364573,1058.9204916513058,1058.9204916513058,51.2,191.07950834869416,191.07950834869416,6522.180551635427,369.55638896729147,2117.8409833026117,65.22180551635427,130.44361103270853,0.5
10,1038,0.5,180.78350214447298,180.78350214447298,1148.6086457194428,1148.6086457194428,102.4,101.39135428055715,101.39135428055715,6921.649785552701,361.56700428894595,2297.2172914388857,69.21649785552701,138.43299571105405,0.5
11,1139,0.5,178.666967475074,178.666967475074,1197.7541265686577,1197.7541265686577,204.8,52.24587343134226,52.24587343134226,7133.303252492597,357.333934950148,2395.5082531373155,71.33303252492597,142.66606504985202,0.5
12,1240,0.5,177.57874046852683,177.57874046852683,1223.4785426520484,1223.4785426520484,409.6,26.521457347951582,26.521457347951582,7242.125953147312,355.15748093705366,2446.957085304097,72.42125953147313,144.84251906294634,0.5
13,1341,0.5,177.02715026004503,177.02715026004503,1236.6382721423422,1236.6382721423422,819.2,13.361727857657797,13.361727857657797,7297.284973995512,354.05430052009007,2473.2765442846844,72.97284973995512,145.94569947990993,0.5
14,1442,0.5,176.74948996771772,176.74948996771772,1243.293715512181,1243.293715512181,1638.4,6.706284487818948,6.706284487818948,7325.051003228376,353.49897993543544,2486.587431024362,73.25051003228377,146.50102006456456,0.5
15,53,0.55,249.17330219143315,249.17330219142755,10.948615860072866,8.957958430968908,0.1,1364.0513841399272,1116.0420415690312,82.66978085696529,498.34660438286073,19.906574291041775,0.8266978085696529,1.6533956171392674,0.55
16,142,0.55,248.35975064691021,248.3597506469074,21.794283699762165,17.83168666344197,0.2,1353.2057163002378,1107.168313336558,164.0249353091197,496.71950129381764,39.62597036320413,1.640249353091197,3.2804987061823567,0.55
17,238,0.55,246.7713356891637,246.77133568916227,43.17597177973216,35.32579509250832,0.4,1331.8240282202678,1089.6742049074917,322.8664310837013,493.54267137832596,78.50176687224048,3.2286643108370128,6.457328621674037,0.55
18,335,0.55,243.74399409582014,243.74399409581943,84.69878226283126,69.2990036695894,0.8,1290.3012177371688,1055.7009963304106,625.6005904180213,487.4879881916396,153.99778593242064,6.2560059041802125,12.512011808360398,0.55
19,436,0.55,238.24547815899328,238.2454781589929,162.8149351461619,133.21221966504172,1.6,1212.1850648538382,991.7877803349583,1175.4521841006915,476.49095631798616,296.0271548112036,11.754521841006914,23.50904368201384,0.55
20,538,0.56,250.2487744319534,208.03819371738373,280.0329139200996,264.6687180800784,3.2,1094.9670860799004,860.3312819199216,2085.6515925331432,458.2869681493371,544.701632000178,20.856515925331433,41.7130318506629,0.55
21,639,0.56,228.20980201240542,204.67330954406955,494.09083917873375,432.8570879261481,6.4,880.9091608212663,692.1429120738519,3355.8444221762516,432.883111556475,926.9479271048818,33.558444221762514,67.116888443525,0.55
22,742,0.58,224.74587129940664,180.6806042054317,732.1955756969481,659.5209341253761,12.8,642.8044243030519,465.47906587462387,4728.676224758083,405.4264755048383,1391.7165098223243,47.286762247580825,94.57352449516168,0.55
23,847,0.62,228.89407704815804,154.1726389194214,950.2033041009721,864.6407347715635,25.6,424.7966958990279,260.35926522843647,5846.664201621029,383.0667159675794,1814.8440388725357,58.46664201621029,116.9332840324206,0.55
24,955,0.69,246.1946832788305,121.96729166411954,1108.491492316315,1005.2642936493588,51.2,266.5085076836849,119.73570635064118,6591.901252852497,368.16197494295005,2113.755785965674,65.91901252852497,131.83802505704995,0.55
25,1070,0.83,292.51445213317163,66.14417538300111,1203.1542883375341,1089.8026855631094,102.4,171.84571166246587,35.197314436890565,7067.068624191367,358.6586275161727,2292.956973900644,70.67068624191367,141.34137248382729,0.55
26,1188,1.0,351.5924617816642,0.0,1266.3030725939923,1125.0,204.8,108.69692740600772,0.0,7420.376910916793,351.5924617816642,2391.3030725939925,74.20376910916794,148.4075382183358,0.55
27,1289,1.0,347.2963246547443,0.0,1319.0782438921183,1125.0,409.6,55.92175610788172,0.0,7635.183767262784,347.2963246547443,2444.0782438921183,76.35183767262784,152.7036753452557,0.55
28,1390,1.0,345.0944632973018,0.0,1346.635949090082,1125.0,819.2,28.364050909917978,0.0,7745.276835134936,345.0944632973018,2471.6359490900822,77.45276835134936,154.9055367026982,0.55
29,1491,1.0,343.9802117702765,0.0,1360.7159617709603,1125.0,1638.4,14.284038229039652,0.0,7800.989411486188,343.9802117702765,2485.7159617709603,78.00989411486188,156.01978822972347,0.55
30,69,0.69,545.2811982611777,-46.96584053185598,6.39524984801269,-33.3586558653858,0.1,1743.6047501519872,783.3586558653858,84.23211353391244,498.3153577293217,-26.96340601737311,0.8423211353391244,1.684642270678296,0.7
31,143,0.7,248.35975064690714,248.35975064691047,27.738179254243093,11.887791108961169,0.2,1722.261820745757,738.1122088910388,164.0249353091197,496.71950129381764,39.62597036320426,1.640249353091197,3.2804987061823567,0.7
32,243,0.7,246.77133568916216,246.7713356891638,54.95123681056853,23.550530061672074,0.4,1695.0487631894314,726.449469938328,322.86643108370123,493.54267137832596,78.50176687224061,3.2286643108370123,6.457328621674037,0.7
33,341,0.71,328.1393012830907,159.3263317797563,81.3624014915026,68.44379779230376,0.8,1668.6375985084974,681.5562022076963,626.7183468576517,487.46563306284696,149.80619928380634,6.267183468576516,12.534366937153038,0.7
34,439,0.71,284.88511311431523,191.47875840811886,176.72019821201945,107.39275701617686,1.6,1573.2798017879804,642.6072429838232,1181.8064238782952,476.3638715224341,284.1129552281963,11.818064238782952,23.636128477565876,0.7
35,541,0.73,300.13842371256777,157.70852690447035,307.5753414267731,216.50046874688863,3.2,1442.424658573227,533.4995312531114,2107.652469148094,457.84695061703815,524.0758101736617,21.07652469148094,42.153049382961854,0.7
36,644,0.75,283.59987624322855,147.80451704138696,544.2178507061325,348.07261690204416,6.4,1205.7821492938674,401.92738309795584,3429.780335769223,431.4043932846155,892.2904676081766,34.29780335769223,68.59560671538452,0.7
37,751,0.81,295.13243653414844,106.14129741493713,812.8717714698356,530.1797982460109,12.8,937.1282285301644,219.82020175398907,4936.313302545722,401.27373394908557,1343.0515697158467,49.363133025457216,98.72626605091443,0.7
38,864,0.93,334.81748713962764,38.206372694899095,1058.079236207675,697.9199425102552,25.6,691.920763792325,52.08005748974483,6348.807008273663,373.0238598345267,1755.9991787179301,63.488070082736634,126.97614016547328,0.7
39,972,1.0,348.36969735355837,0.0,1305.770597715503,750.0,51.2,444.2294022844969,0.0,7581.515132322082,348.36969735355837,2055.770597715503,75.81515132322082,151.63030264644163,0.7
40,1073,1.0,332.942205161282,0.0,1505.2864333417217,750.0,102.4,244.7135666582783,0.0,8352.8897419359,332.942205161282,2255.286433341722,83.528897419359,167.057794838718,0.7
41,1174,1.0,324.5691973890953,0.0,1621.5106426189661,750.0,204.8,128.48935738103387,0.0,8771.540130545245,324.5691973890953,2371.510642618966,87.71540130545245,175.43080261090472,0.7
42,1275,1.0,320.2278003742746,0.0,1684.165454238626,750.0,409.6,65.8345457613741,0.0,8988.609981286278,320.2278003742746,2434.165454238626,89.88609981286278,179.77219962572542,0.7
43,1376,1.0,318.02040084302354,0.0,1716.6785401934246,750.0,819.2,33.321459806575376,0.0,9098.97995784885,318.02040084302354,2466.678540193425,90.98979957848849,181.97959915697646,0.7
44,1477,1.0,316.9078306601374,0.0,1733.237411254285,750.0,1638.4,16.762588745714993,0.0,9154.608466993148,316.9078306601374,2483.237411254285,91.54608466993147,183.0921693398626,0.7
45,86,0.86,504.616845263874,-6.3541456883901475,8.882452374152999,-114.83308914839373,0.1,2241.117547625847,364.8330891483937,86.86502122580802,498.26269957548385,-105.95063677424072,0.8686502122580803,1.7373004245161496,0.9
46,143,0.9,248.35975064691073,248.35975064690686,35.663373326883466,3.962597036320446,0.2,2214.3366266731164,246.03740296367954,164.02493530911974,496.7195012938176,39.62597036320391,1.6402493530911975,3.2804987061824136,0.9
47,245,0.91,437.96097228265376,55.563898856803284,40.362276339713986,31.464400956675092,0.4,2209.637723660286,218.5355990433249,323.7564430271481,493.52487113945705,71.82667729638908,3.2375644302714814,6.475128860542952,0.9
48,346,0.91,392.77857219487595,94.55075960569641,88.06723847266096,36.182474134658854,0.8,2161.932761527339,213.81752586534114,633.5334099713815,487.3293318005724,124.24971260731982,6.3353340997138154,12.67066819942761,0.9
49,448,0.92,392.1233623268379,83.75793539734771,169.76192871100406,69.10973293139175,1.6,2080.238071288996,180.89026706860824,1205.9351137907222,475.8812977241856,238.8716616423958,12.059351137907221,24.118702275814428,0.9
