,index,fopt,rb1,rb2,tc1,tc2,Tt1,Tt2,kch,ksp,tu1,tu2,protein,Rb,Tc,kspeed_factor,protein_expr_rate
0,0,0.0,0.0,436.8051263561058,175.0,43.4025631780529,175,75,300,0.5,0.0,31.5974368219471,,436.8051263561058,218.4025631780529,1.0,
1,1,0.05,5.692218256028758,428.5226740750488,173.35537230827694,43.752073857261855,175,75,300,0.5,1.6446276917230591,31.247926142738145,3289.2553834461182,434.2148923310776,217.1074461655388,1.0,32.89255383446118
2,2,0.1,11.990333364225275,419.43641557788203,171.57133744710538,44.14203702394828,175,75,300,0.5,3.4286625528946217,30.857962976051716,3428.662552894622,431.4267489421073,215.71337447105367,1.0,34.28662552894622
3,3,0.15,18.98820438374116,409.43400154045764,169.6316654443149,44.579437517784484,175,75,300,0.5,5.368334555685095,30.420562482215516,3578.8897037900633,428.4222059241988,214.2111029620994,1.0,35.78889703790063
4,4,0.2,26.79755121312821,398.3844879760636,167.51820391891917,45.07281567567672,175,75,300,0.5,7.48179608108083,29.927184324323278,3740.898040540415,425.1820391891918,212.59101959459588,1.0,37.40898040540415
5,5,0.25,35.55133498137228,386.13576370849205,165.21088733623304,45.63266200869912,175,75,300,0.5,9.789112663766957,29.36733799130088,3915.645065506783,421.68709868986434,210.84354934493217,1.0,39.15645065506783
6,6,0.3,45.40732371258326,372.51240069760166,162.68795866152774,46.27190354356473,175,75,300,0.5,12.312041338472255,28.728096456435267,4104.013779490751,417.9197244101849,208.95986220509246,1.0,41.040137794907515
7,7,0.35,56.55132657205604,357.3147730254907,159.92656742957067,47.006482369202686,175,75,300,0.5,15.073432570429333,27.993517630797314,4306.695020122666,413.86609959754674,206.93304979877337,1.0,43.06695020122666
8,8,0.4,69.19900467572747,340.3209906198398,156.90399905911346,47.85599858867018,175,75,300,0.5,18.09600094088654,27.144001411329818,4524.000235221635,409.51999529556724,204.75999764778365,1.0,45.24000235221635
9,9,0.45,83.59417559494875,321.2942882764438,153.59990437106333,48.84432756463295,175,75,300,0.5,21.40009562893667,26.15567243536705,4755.576806430371,404.88846387139256,202.44423193569628,1.0,47.55576806430371
10,10,0.5,100.0,300.0,150.0,50.0,175,75,300,0.5,25.0,25.0,5000.0,400.0,200.0,1.0,50.0
11,11,0.55,118.67752397231999,276.23770825558125,146.10168886267283,51.355927251277784,175,75,300,0.5,28.89831113732717,23.644072748722216,5254.23838860494,394.91523222790124,197.45761611395062,1.0,52.5423838860494
12,12,0.6,139.84478072235282,249.89408854642582,141.9216607806336,52.94777385375573,175,75,300,0.5,33.0783392193664,22.052226146244273,5513.056536561066,389.73886926877867,194.86943463438934,1.0,55.130565365610664
13,13,0.65,163.6118796358615,221.01707026821663,137.5044087188254,54.810066233213675,175,75,300,0.5,37.4955912811746,20.189933766786325,5768.552504796092,384.6289499040781,192.31447495203906,1.0,57.685525047960915
14,14,0.7,189.89794855663558,189.89794855663564,132.92856398964494,56.96938456699068,175,75,300,0.5,42.07143601035506,18.030615433009316,6010.205144336437,379.7958971132712,189.89794855663564,1.0,60.102051443364374
