,time,species,protein,ribo_density,codon,gfp_rbs,charging_rate,skew
139,100.0,ATA_charged,5.666666666666667,0.0,0.03,1e-05,3.0,0.5
140,100.0,ATA_uncharged,1244.3333333333333,0.0,0.03,1e-05,3.0,0.5
141,100.0,TTT_charged,1225.3333333333333,0.0,0.03,1e-05,3.0,0.5
142,100.0,TTT_uncharged,24.666666666666668,0.0,0.03,1e-05,3.0,0.5
143,100.0,__cellularProtein_rbs,100.0,0.0,0.03,1e-05,3.0,0.5
144,100.0,free ribosome,0.0,0.0,0.03,1e-05,3.0,0.5
145,100.0,cellularProtein,0.0,5.0,0.03,1e-05,3.0,0.5
425,100.0,ATA_charged,3.6666666666666665,0.0,0.05,1e-05,3.0,0.5
426,100.0,ATA_uncharged,1246.3333333333333,0.0,0.05,1e-05,3.0,0.5
427,100.0,TTT_charged,1185.3333333333333,0.0,0.05,1e-05,3.0,0.5
428,100.0,TTT_uncharged,64.66666666666667,0.0,0.05,1e-05,3.0,0.5
429,100.0,__cellularProtein_rbs,99.66666666666667,0.0,0.05,1e-05,3.0,0.5
430,100.0,free ribosome,0.0,0.0,0.05,1e-05,3.0,0.5
431,100.0,cellularProtein,0.3333333333333333,5.0,0.05,1e-05,3.0,0.5
711,100.0,ATA_charged,3.3333333333333335,0.0,0.07,1e-05,3.0,0.5
712,100.0,ATA_uncharged,1246.6666666666667,0.0,0.07,1e-05,3.0,0.5
713,100.0,TTT_charged,1156.6666666666667,0.0,0.07,1e-05,3.0,0.5
714,100.0,TTT_uncharged,93.33333333333333,0.0,0.07,1e-05,3.0,0.5
715,100.0,__cellularProtein_rbs,99.66666666666667,0.0,0.07,1e-05,3.0,0.5
716,100.0,free ribosome,0.0,0.0,0.07,1e-05,3.0,0.5
717,100.0,cellularProtein,0.3333333333333333,5.0,0.07,1e-05,3.0,0.5
997,100.0,ATA_charged,5.0,0.0,0.09,1e-05,3.0,0.5
998,100.0,ATA_uncharged,1245.0,0.0,0.09,1e-05,3.0,0.5
999,100.0,TTT_charged,1125.0,0.0,0.09,1e-05,3.0,0.5
1000,100.0,TTT_uncharged,125.0,0.0,0.09,1e-05,3.0,0.5
1001,100.0,__cellularProtein_rbs,99.66666666666667,0.0,0.09,1e-05,3.0,0.5
1002,100.0,free ribosome,0.0,0.0,0.09,1e-05,3.0,0.5
1003,100.0,cellularProtein,0.3333333333333333,5.0,0.09,1e-05,3.0,0.5
1283,100.0,ATA_charged,5.333333333333333,0.0,0.11,1e-05,3.0,0.5
1284,100.0,ATA_uncharged,1244.6666666666667,0.0,0.11,1e-05,3.0,0.5
1285,100.0,TTT_charged,1098.3333333333333,0.0,0.11,1e-05,3.0,0.5
1286,100.0,TTT_uncharged,151.66666666666666,0.0,0.11,1e-05,3.0,0.5
