,fopt,time,protein,kch
0,0.01,100.0,2000.0,30.0
1,0.01,200.0,4068.0,30.0
2,0.03,100.0,2000.0,30.0
3,0.03,200.0,4240.0,30.0
4,0.05,100.0,2000.0,30.0
5,0.05,200.0,4459.0,30.0
6,0.07,100.0,2005.0,30.0
7,0.07,200.0,4499.666666666667,30.0
8,0.09,100.0,2032.3333333333333,30.0
9,0.09,200.0,4507.0,30.0
10,0.11,100.0,2120.6666666666665,30.0
11,0.11,200.0,4575.666666666667,30.0
12,0.13,100.0,2265.333333333333,30.0
13,0.13,200.0,4770.666666666667,30.0
14,0.15,100.0,2433.6666666666665,30.0
15,0.15,200.0,4985.0,30.0
16,0.17,100.0,2498.0,30.0
17,0.17,200.0,5004.0,30.0
18,0.19,100.0,2499.6666666666665,30.0
19,0.19,200.0,5067.333333333333,30.0
20,0.21,100.0,2500.333333333333,30.0
21,0.21,200.0,5288.333333333333,30.0
22,0.23,100.0,2507.333333333333,30.0
23,0.23,200.0,5494.0,30.0
24,0.25,100.0,2564.0,30.0
25,0.25,200.0,5526.0,30.0
26,0.27,100.0,2703.333333333333,30.0
27,0.27,200.0,5696.0,30.0
28,0.29,100.0,2928.6666666666665,30.0
29,0.29,200.0,5972.333333333333,30.0
30,0.31,100.0,2997.333333333333,30.0
31,0.31,200.0,6037.333333333333,30.0
32,0.33,100.0,3001.333333333333,30.0
33,0.33,200.0,6258.333333333333,30.0
34,0.35,100.0,3033.6666666666665,30.0
35,0.35,200.0,6503.0,30.0
36,0.37,100.0,3161.0,30.0
37,0.37,200.0,6628.666666666667,30.0
38,0.39,100.0,3403.333333333333,30.0
39,0.39,200.0,6967.666666666667,30.0
40,0.41,100.0,3499.6666666666665,30.0
41,0.41,200.0,7106.666666666667,30.0
42,0.43,100.0,3531.333333333333,30.0
43,0.43,200.0,7454.666666666667,30.0
44,0.45,100.0,3680.0,30.0
45,0.45,200.0,7648.666666666667,30.0
46,0.47,100.0,3938.0,30.0
47,0.47,200.0,8008.0,30.0
48,0.49,100.0,4017.3333333333335,30.0
49,0.49,200.0,8299.0,30.0
50,0.51,100.0,4161.0,30.0
51,0.51,200.0,8629.333333333334,30.0
52,0.53,100.0,4453.666666666667,30.0
53,0.53,200.0,9037.0,30.0
54,0.55,100.0,4563.666666666667,30.0
55,0.55,200.0,9457.666666666666,30.0
56,0.57,100.0,4831.666666666667,30.0
57,0.57,200.0,9890.0,30.0
58,0.59,100.0,5057.333333333333,30.0
59,0.59,200.0,10380.0,30.0
60,0.61,100.0,5355.333333333333,30.0
61,0.61,200.0,10922.0,30.0
62,0.63,100.0,5614.333333333333,30.0
63,0.63,200.0,11516.666666666666,30.0
64,0.65,100.0,5983.0,30.0
65,0.65,200.0,12165.333333333334,30.0
66,0.67,100.0,6306.333333333333,30.0
67,0.67,200.0,12865.0,30.0
68,0.69,100.0,6646.333333333333,30.0
69,0.69,200.0,13541.666666666666,30.0
70,0.71,100.0,6774.333333333333,30.0
71,0.71,200.0,13839.333333333334,30.0
72,0.73,100.0,6666.0,30.0
